source_question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation_a,explanation_b,explanation_c,explanation_d,source_file,topic
5,"A table in BigQuery contains a column named customer_credit_card. You must ensure that only the billing department can read the plaintext data in this specific column, while general data analysts receive an ""access denied"" error if they attempt to SELECT it. Which BigQuery feature must you use?",Authorized Views.,Row-level access policies.,Policy Tags (Column-level security).,Cloud KMS Customer-Managed Encryption Keys.,C,"is incorrect because while Authorized Views can omit columns, they require analysts to query the view instead of the base table. Policy tags secure the base table directly.","is incorrect because row-level security filters entire records horizontally, whereas this scenario requires securing a specific vertical column across all records.","is correct because Policy Tags enable fine-grained column-level security. By classifying the customer_credit_card column with a specific Policy Tag, you can use IAM to restrict access so only the billing department has the ""Fine-Grained Reader"" role for that tag.",is incorrect because Cloud KMS handles storage encryption at rest; it does not handle SQL-level column access control for querying users.,Data_management.docx,Data_management
6,"Your financial services company has a strict mandate to retain trading logs for exactly 7 years. These logs must be strictly immutable (WORM - Write Once, Read Many) to prevent any accidental or malicious deletion or modification during that 7-year window. What Cloud Storage feature should you implement?",Object Versioning.,A Cloud Storage bucket lock with a Retention Policy.,Uniform Bucket-Level Access.,Object Lifecycle Management.,B,"is incorrect because Object Versioning retains older versions if a file is modified, but it does not prevent a malicious actor from permanently deleting all versions of the file.","is correct because a Cloud Storage Retention Policy specifies how long objects must be retained. When you apply a Bucket Lock to that policy, it becomes permanently immutable; no one, not even project administrators, can delete or modify the objects until the 7-year period expires.",is incorrect because Uniform Bucket-Level Access forces IAM usage over ACLs; it does not enforce immutability or retention schedules.,"is incorrect because Object Lifecycle Management is generally used to transition storage classes or delete objects to save money, not to enforce cryptographically secure immutability.",Data_management.docx,Data_management
7,"You are designing an automated data pipeline running on a Compute Engine instance that needs to routinely download files from a Cloud Storage bucket. To adhere to Google Cloud security best practices, how should you authenticate this Compute Engine instance?","Generate a long-lived Service Account JSON key, store it on the VM, and set the GOOGLE_APPLICATION_CREDENTIALS environment variable.",Attach a dedicated Service Account with the roles/storage.objectViewer role directly to the Compute Engine instance.,Use your personal Google Workspace user credentials to log into the VM.,Make the Cloud Storage bucket public so authentication is not required.,B,is incorrect because downloading and storing permanent Service Account JSON keys poses a severe security risk (credential leakage) and should be avoided whenever native attachment is possible.,"is correct because attaching a Service Account to the Compute Engine instance is the most secure method for application authentication. Google Cloud automatically manages the short-lived credentials under the hood, and granting exactly the objectViewer role strictly enforces least privilege.",is incorrect because user credentials belong to a human; automated server-to-server pipelines should always use Service Accounts.,is incorrect because making the bucket public completely violates data security principles.,Data_management.docx,Data_management
8,Your organization stores 50 terabytes of compliance audit logs in Cloud Storage. These logs are accessed only once a year during an external audit. Which storage class minimizes ongoing storage costs while meeting this access pattern?,Standard Storage,Nearline Storage,Coldline Storage,Archive Storage,D,"is incorrect because Standard Storage is for frequently accessed (""hot"") data and has the highest monthly storage cost.",is incorrect because Nearline is optimized for data accessed roughly once a month.,"is incorrect because Coldline is optimized for data accessed roughly once every 90 days, which is less cost-effective than Archive for yearly access.","is correct because Archive Storage is the lowest-cost storage class offered by Google Cloud, explicitly designed for data accessed less than once a year (like long-term regulatory compliance backups).",Data_management.docx,Data_management
9,"You have created a BigQuery dataset containing sensitive raw data. You write a complex SQL query that aggregates this data and removes personally identifiable information (PII). You want to share these clean, aggregated results with the marketing department, but you must completely block them from querying the raw base tables. What should you create?",An Authorized View.,A multi-region Cloud Storage bucket.,A Dataproc cluster.,A custom IAM role granting bigquery.tables.getData.,A,is correct because an Authorized View allows you to share specific query results with users (like the marketing department) without granting them any read access to the underlying base tables containing the PII.,is incorrect because moving data to Cloud Storage removes it from the BigQuery analytical engine and breaks live data connections.,"is incorrect because Dataproc is a Hadoop/Spark processing engine, not a BigQuery security or sharing mechanism.","is incorrect because granting IAM access to the tables would allow marketing to see the raw, sensitive PII data, violating the requirement.",Data_management.docx,Data_management
10,"You need to protect data as it moves over the internet between an external client's mobile application and your Google Cloud Load Balancer. Which security protocol represents ""encryption in transit"" for this scenario?",AES-256,Customer-Managed Encryption Keys (CMEK),HTTPS/TLS,Identity-Aware Proxy (IAP),C,"is incorrect because AES-256 is the default algorithm used by Google Cloud for encryption at rest, not the transport protocol.","is incorrect because CMEK manages keys used for encrypting data persistently stored on disks (at rest), not the network tunnel.","is correct because HTTPS (which utilizes Transport Layer Security or TLS) is the standard cryptographic protocol used to encrypt data in transit as it travels across networks or the public internet, preventing eavesdropping or man-in-the-middle attacks.","is incorrect because IAP controls identity-based access to web applications (authentication/authorization), but the actual encryption of the network traffic relies on TLS.",Data_management.docx,Data_management
11,"Your organization suffers from fragmented data silos. Analysts struggle to find datasets scattered across BigQuery and Cloud Storage, and data governance rules are applied inconsistently. Which Google Cloud service should you implement to centrally discover, manage, monitor, and govern distributed data across your organization without physically moving the data?",Dataproc,Dataplex,Cloud Composer,Cloud Key Management Service (KMS),B,"is incorrect because Dataproc is a managed service for running Apache Hadoop and Spark workloads, not an enterprise data governance platform.","is correct because Dataplex is an intelligent data fabric that enables organizations to centrally discover, govern, and monitor distributed data across data lakes, data warehouses, and databases without having to physically move or duplicate the data.","is incorrect because Cloud Composer orchestrates data pipeline workflows (DAGs), not semantic data discovery or governance.","is incorrect because Cloud KMS manages cryptographic encryption keys, not data catalogs or governance metadata.",Data_management.docx,Data_management
12,"A multinational bank is migrating its core relational database to Google Cloud. The system requires continuous synchronous replication, strict transactional consistency, and the ability to survive a massive regional failure (RPO = 0) to ensure global financial transactions are never lost. Which database configuration provides this extreme level of disaster recovery?",Cloud SQL with a regional High Availability (HA) configuration.,Cloud Spanner with a multi-region configuration.,Cloud Bigtable with a single-cluster setup.,A standard Compute Engine VM running PostgreSQL.,B,"is incorrect because while Cloud SQL HA protects against zonal failures within a single region, it relies on asynchronous read replicas for cross-region disaster recovery, which cannot guarantee RPO = 0 if the primary region goes offline unexpectedly.","is correct because a multi-region Cloud Spanner configuration provides a globally distributed, relational database with synchronous replication. It ensures strong consistency and can survive complete regional outages with zero data loss (RPO = 0).",is incorrect because Cloud Bigtable is a NoSQL database lacking standard relational transactional consistency.,is incorrect because a self-managed VM provides the least resilience and would require building complex synchronous global replication from scratch.,Data_management.docx,Data_management
13,"You manage a massive BigQuery table that ingests 5 terabytes of logging data every day. The company only needs to retain these logs for 30 days for operational troubleshooting; after 30 days, the data becomes entirely useless. What is the most cost-effective and automated way to manage this data lifecycle?",Write a Cloud Function that runs a DELETE SQL statement every night to remove rows older than 30 days.,Export the data to Cloud Storage daily and delete the BigQuery table.,Partition the table by day and set the dataset or table's default partition expiration to 30 days.,Use BigQuery Time Travel to rollback the data.,C,is incorrect because executing daily DELETE statements (Data Manipulation Language) on massive tables consumes BigQuery compute slots and incurs unnecessary costs compared to native partition expiration.,is incorrect because exporting 5TB of data daily requires significant pipeline engineering and removes the data from the analytical engine.,is correct because setting a partition expiration automatically and freely deletes individual daily partitions once they reach the 30-day threshold. This is a native lifecycle management feature that requires no compute cost or maintenance.,is incorrect because Time Travel protects against accidental deletion for up to 7 days; it is not a lifecycle management tool for deleting old data.,Data_management.docx,Data_management
14,"To ensure the security of your cloud environment, you need to implement the Principle of Least Privilege. Which of the following scenarios accurately demonstrates this principle?",Granting all data engineers the roles/editor role on the entire GCP project so they can perform any task needed without being blocked.,"Granting a Pub/Sub ingestion service account the roles/bigquery.dataEditor role strictly on the specific destination BigQuery dataset, and nothing else.",Utilizing personal Google Workspace accounts for all automated Dataflow pipelines.,Applying Uniform Bucket-Level Access and granting allUsers the storage.objectViewer role.,B,"is incorrect because the Editor role is highly permissive and grants modification access to virtually all services in the project, wildly violating least privilege.","is correct because the principle of least privilege dictates that an identity (human or service account) should only be given the exact permissions necessary to perform its intended function, restricted to the narrowest possible resource scope (the specific dataset).","is incorrect because pipelines should use Service Accounts, not personal credentials.","is incorrect because granting allUsers access makes the bucket public to the entire internet, which is a massive security risk.",Data_management.docx,Data_management
15,"You have created a data ingestion pipeline, but you need an IAM role that allows a specific user to start and stop Dataflow jobs, but explicitly prevents them from modifying Cloud Storage buckets. You find that predefined Google Cloud roles either grant too much access or not enough. What should you do?",Assign the user the roles/owner role temporarily.,Create a Custom IAM role that includes only the exact Dataflow permissions required.,Use Cloud KMS to restrict their access.,Ask the user to run the jobs using your credentials.,B,"is incorrect because granting the Owner role gives complete administrative control over the entire project, creating a massive security vulnerability.","is correct because Custom IAM roles allow you to tailor an identity's access by selecting one or more specific permissions from a granular list, perfectly satisfying unique security requirements when predefined roles do not fit.","is incorrect because Cloud KMS manages cryptographic keys, it does not dictate IAM permissions for starting or stopping pipeline services.","is incorrect because sharing credentials fundamentally breaks auditing, accountability, and security best practices.",Data_management.docx,Data_management
16,You are auditing a Google Cloud environment and notice a Cloud Storage bucket is configured with Individual Object Access Control Lists (ACLs). This configuration has led to accidental data exposure because developers are applying conflicting permissions at the file level. How can you permanently disable object-level ACLs and force all access control to be managed exclusively through IAM?,Enable Uniform Bucket-Level Access on the bucket.,Change the bucket's storage class to Archive.,Encrypt the bucket with CMEK.,Implement a VPC Service Control perimeter.,A,"is correct because enabling Uniform Bucket-Level Access completely disables individual object ACLs. Once enabled, all access to the bucket and its objects is governed uniformly and exclusively by IAM policies applied at the bucket or project level, preventing developer configuration drift.","is incorrect because storage classes affect billing and data retrieval latency, not access control mechanisms.","is incorrect because CMEK handles cryptographic keys for data at rest, not IAM or ACL security policies.","is incorrect because VPC Service Controls prevent network exfiltration, but they do not alter the internal ACL vs. IAM evaluation logic of a bucket.",Data_management.docx,Data_management
17,"Your company has extremely sensitive proprietary data in a BigQuery dataset. The Chief Information Security Officer (CISO) dictates that even if an employee has valid IAM credentials and the correct BigQuery roles, they must be blocked from querying or downloading this data if they are connected from a public coffee shop Wi-Fi. Access must be restricted to users physically inside the corporate network. Which security feature should you configure?",VPC Service Controls.,Cloud Key Management Service.,BigQuery Policy Tags.,Cloud Audit Logs.,A,"is correct because VPC Service Controls allow you to define a secure perimeter around Google Cloud services (like BigQuery). You can configure ingress rules that deny access to API requests originating from outside the trusted corporate IP ranges, regardless of whether the user possesses valid IAM credentials, effectively mitigating data exfiltration risks.",is incorrect because Cloud KMS encrypts data at rest; it does not perform IP-based or network-perimeter access evaluation.,"is incorrect because Policy Tags provide column-level security based on IAM identity, not based on the network origin of the request.",is incorrect because Cloud Audit Logs record access events after they happen; they do not proactively block network connections.,Data_management.docx,Data_management
18,"You are managing cryptographic keys using Cloud Key Management Service (Cloud KMS) for a CMEK implementation. You need to rotate the encryption key used for your Cloud Storage buckets. Within the hierarchical structure of Cloud KMS, which component holds the actual cryptographic material and represents the specific point-in-time generation of the key?",The Key Ring.,The CryptoKey.,The CryptoKeyVersion.,The Identity-Aware Proxy.,C,is incorrect because a Key Ring is merely an organizational grouping of CryptoKeys; it contains no cryptographic material itself.,"is incorrect because a CryptoKey is a logical container that holds one or more CryptoKeyVersions over time, but the specific material is in the version.","is correct because in Cloud KMS, the CryptoKeyVersion represents the actual, raw cryptographic material used for encryption or decryption at a specific point in time. When you rotate a key, you generate a new CryptoKeyVersion under the parent CryptoKey.","is incorrect because IAP manages identity-based access to web apps, not cryptographic key hierarchies.",Data_management.docx,Data_management
19,"A data engineer accidentally executed a script that deleted several important CSV files from a Cloud Storage bucket earlier today. You need to instantly restore these specific files to their exact state before the deletion. What bucket feature, if previously enabled, allows you to do this seamlessly?",Object Versioning.,Multi-region replication.,Pub/Sub notifications.,Storage Transfer Service.,A,is correct because Object Versioning retains a historical copy of an object each time it is overwritten or deleted. This allows for immediate point-in-time recovery of deleted files.,"is incorrect because multi-region replication synchronizes data across geographies for high availability; a deletion in one region is instantly replicated to the other, destroying the data in both places.",is incorrect because Pub/Sub notifications simply alert you that the deletion happened; they do not back up or restore the deleted data.,"is incorrect because Storage Transfer Service is a data migration tool, not a backup and point-in-time recovery mechanism for individual accidental deletions.",Data_management.docx,Data_management
20,"An external client delivers data files to a Google Cloud Storage bucket in europe-west1. Your data processing pipeline, hosted on Compute Engine, operates exclusively in us-central1. To minimize latency and optimize performance, what is the best practice for managing this data storage location?",Keep the data in europe-west1 and run the pipeline over the global network.,Relocate or duplicate the Cloud Storage bucket to us-central1 so the data and the compute resources are co-located in the same region.,Change the storage class to Archive.,Implement a Cloud Spanner database instead of Cloud Storage.,B,is incorrect because transferring massive amounts of data from Europe to the US for every pipeline run introduces high latency and incurs significant cross-region egress costs.,"is correct because a fundamental best practice in cloud data management is co-locating data and compute resources within the same geographic region. This minimizes network latency, improves pipeline performance, and avoids expensive cross-region network egress charges.","is incorrect because the Archive class dictates retrieval cost and time, not geographic location or network latency.",is incorrect because Cloud Spanner is a relational database; it is not a drop-in replacement for processing raw external file deliveries.,Data_management.docx,Data_management
21,A critical BigQuery table was accidentally dropped by a junior analyst using a DROP TABLE command. You need to recover this table immediately. No manual snapshots were taken. What is the maximum historical window within which BigQuery's native Time Travel feature allows you to recover this deleted table?,24 hours.,7 days.,30 days.,365 days.,B,", C, and D are incorrect because the maximum configurable Time Travel window in BigQuery is explicitly capped at 7 days. Retaining data beyond 7 days requires taking manual Table Snapshots or Clones.","is correct because BigQuery automatically provides a Time Travel window that retains historical data for up to a maximum of 7 days. You can use standard SQL (e.g., FOR SYSTEM_TIME AS OF) to recover the exact state of the table at any point within that 7-day window.",,,Data_management.docx,Data_management
22,Your data engineering team has deployed several analytical dashboards. You need to restrict access to a highly sensitive internal web application hosted on Compute Engine so that only employees authenticated with their corporate Google credentials can access the URL. You want to implement this without requiring a traditional VPN. Which Google Cloud service should you use?,Identity-Aware Proxy (IAP).,Cloud Key Management Service (KMS).,Dataplex.,Eventarc.,A,"is correct because Identity-Aware Proxy (IAP) establishes a zero-trust access model. It verifies a user's identity and IAM context before allowing them to access web applications hosted on Google Cloud (App Engine, Compute Engine, Cloud Run) without requiring a traditional VPN connection.","is incorrect because Cloud KMS handles encryption at rest, not user authentication for web applications.",is incorrect because Dataplex is a data governance and discovery tool.,"is incorrect because Eventarc is an event-driven orchestration service for triggering pipelines, not a security proxy for web apps.",Data_management.docx,Data_management
23,"You are designing the disaster recovery strategy for a mission-critical Cloud SQL for PostgreSQL database. If a bad application update corrupts the database at 2:15 PM, you need the ability to restore the database to its exact state at 2:14 PM. What specific Cloud SQL feature must you enable to achieve this?",High Availability (Regional) configuration.,Cross-region Read Replicas.,Point-in-time recovery (PITR) with write-ahead logs.,Cloud Storage Object Versioning.,C,"is incorrect because HA protects against infrastructure failure (a zone going down) by failing over to a standby; it instantly replicates bad data, so it cannot protect against application-level data corruption.","is incorrect because Read Replicas also continuously replicate data, meaning the corruption at 2:15 PM would be immediately replicated to the read replicas.","is correct because Point-in-time recovery (PITR) uses continuous write-ahead logs (WAL) alongside automated backups to allow you to recover a Cloud SQL database to any specific second in time, effectively rewinding the database to the moment before the corruption occurred.","is incorrect because Object Versioning applies to Cloud Storage buckets, not relational databases.",Data_management.docx,Data_management
24,"Your organization has data stored in an external cloud provider (Amazon S3). You want to query this data using BigQuery. However, compliance policies mandate that all external data access must enforce strict row-level and column-level security protocols. Which BigQuery feature must you implement?",BigQuery Data Transfer Service.,A standard BigQuery External Table.,A BigLake table.,Dataproc Workflow Templates.,C,is incorrect because Data Transfer Service ingests (copies) data into BigQuery; it is not a table structure designed to query external data in place.,"is incorrect because while standard External Tables allow querying data outside of BigQuery, they lack the capability to enforce fine-grained row-level or column-level security.","is correct because BigLake tables extend BigQuery's native fine-grained security protocols—including row-level and column-level security—to data stored in external data lakes, including Cloud Storage, Amazon S3, and Azure Blob Storage.","is incorrect because Dataproc is a Hadoop/Spark engine, entirely unrelated to BigQuery external table security schemas.",Data_management.docx,Data_management
25,"To fulfill a strict compliance audit, you must maintain a read-only, point-in-time backup of a massive BigQuery table on the last day of every fiscal year. This backup must be stored indefinitely and you want to minimize storage costs. Which BigQuery feature provides the most cost-effective method for this requirement?",Creating a BigQuery Table Clone.,Creating a BigQuery Table Snapshot.,Using the INFORMATION_SCHEMA.,Exporting the data to a Cloud SQL instance.,B,"is incorrect because a Table Clone creates a writable copy of a table. While also cost-effective initially, clones are meant for testing schema changes, whereas compliance audits demand strictly read-only, immutable records.","is correct because a BigQuery Table Snapshot is a read-only, point-in-time representation of a table. It is highly cost-effective because BigQuery only charges for the storage of data blocks that have changed between the snapshot and the base table, making it ideal for indefinite compliance backups.","is incorrect because INFORMATION_SCHEMA provides metadata views (like table definitions and query logs), not backups of the actual table data.",is incorrect because exporting analytical data to a transactional relational database is an expensive and complex anti-pattern for archiving.,Data_management.docx,Data_management
26,"Your data engineers use a specialized Google Cloud service to ensure data quality and perform automated data lineage tracking. This allows auditors to visualize exactly how a specific table in BigQuery was derived, tracking it back to its original source in Cloud Storage. Which service provides this native lineage tracking?",Cloud Monitoring,Dataplex,Identity-Aware Proxy (IAP),Cloud Spanner,B,"is incorrect because Cloud Monitoring tracks infrastructure performance metrics (CPU usage, latency), not the semantic lineage and transformation history of data assets.","is correct because Dataplex natively includes Data Lineage capabilities. It automatically tracks data movement and transformations across Google Cloud systems (like from Cloud Storage through Dataflow into BigQuery), providing a visual graph of how data was derived for auditing and troubleshooting.",is incorrect because IAP is a zero-trust access proxy for web applications.,"is incorrect because Cloud Spanner is a globally distributed relational database, not a data governance or lineage tracking tool.",Data_management.docx,Data_management
27,You are tasked with reviewing the disaster recovery posture for a critical cloud application. What is the fundamental difference between a Recovery Time Objective (RTO) and a Recovery Point Objective (RPO)?,"RTO defines how much data loss is acceptable, while RPO defines how quickly the system must be back online.","RTO defines the encryption standard used, while RPO defines the geographic location of the backups.","RTO defines how quickly the system must be restored after a failure, while RPO defines the maximum acceptable amount of data loss (measured in time).",RTO and RPO are interchangeable terms for data replication latency.,C,is incorrect because it reverses the definitions of RTO and RPO.,is incorrect because neither RTO nor RPO dictate encryption standards or specific geographic locations; they are temporal business continuity metrics.,"is correct because Recovery Time Objective (RTO) refers to the maximum acceptable downtime (how fast you must recover), whereas Recovery Point Objective (RPO) refers to the maximum acceptable data loss (the point in time to which data must be recovered, e.g., losing the last 15 minutes of data). These concepts heavily dictate architectural choices like replication and backups.",is incorrect because they are distinctly different metrics critical to defining a Data Management and disaster recovery strategy.,Data_management.docx,Data_management
1,"Your data engineering team is building a complex data pipeline that involves multiple interdependent steps across several Google Cloud services. The pipeline needs to wait for an on-premises system to upload a file to Cloud Storage, trigger a Dataproc job, and finally execute a BigQuery load job. The team wants to author this orchestration logic using Python. Which service should you use?",Cloud Scheduler,Cloud Composer,Dataform,Eventarc,B,"is incorrect because Cloud Scheduler is a cron-based job scheduler for executing individual, time-driven tasks; it cannot natively manage complex, interdependent multi-step workflows.","is correct because Cloud Composer is a fully managed workflow orchestration service built on Apache Airflow. It allows you to author complex, multi-step pipelines as Directed Acyclic Graphs (DAGs) using Python, making it perfect for managing dependencies across varied GCP and on-premises services.","is incorrect because Dataform is used exclusively for managing SQL-based data transformations within BigQuery, not for cross-service orchestration or Python-based execution.","is incorrect because Eventarc routes events to trigger serverless applications; it is not a centralized workflow orchestration engine for complex, multi-stage Python DAGs.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
2,"You are designing a serverless data pipeline. You need a specific Cloud Run service to execute immediately the exact moment a new CSV file is uploaded to a designated Cloud Storage bucket. Which service provides the most natively integrated, event-driven trigger for this scenario?",Cloud Scheduler,Cloud Composer,Eventarc,Dataproc Workflow Templates,C,"is incorrect because Cloud Scheduler triggers tasks based on a time schedule (e.g., every hour), not in real-time response to a storage event.","is incorrect because while Composer can use sensors to poll for files, Eventarc provides a much more lightweight, serverless, and immediate push-based event-trigger for Cloud Run.",is correct because Eventarc is specifically designed to build event-driven architectures. It natively captures events from Google Cloud sources (like a file creation in Cloud Storage via Cloud Audit Logs) and securely routes them to target destinations like Cloud Run with minimal configuration.,"is incorrect because Dataproc Workflow Templates orchestrate ephemeral Hadoop/Spark clusters, not event-driven Cloud Run executions.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
3,"Your data analysts want to develop and operationalize scalable data transformation pipelines within BigQuery. They want to use exclusively standard SQL, apply version control to their queries using Git, and visualize the dependency tree of their transformations. Which Google Cloud tool should they use?",Cloud Composer,Dataflow,Dataform,Vertex AI Pipelines,C,"is incorrect because Cloud Composer requires writing workflows in Python (Airflow DAGs), whereas the team explicitly wants to use exclusively SQL.","is incorrect because Dataflow uses Apache Beam (Java, Python, Go) for data processing, not SQL-centric Git workflows for BigQuery transformations.","is correct because Dataform enables data analysts and engineers to develop, test, version control (via Git integration), and schedule complex SQL workflows directly within BigQuery. It natively builds a dependency tree from SQLX files to ensure tables are transformed in the correct order.","is incorrect because Vertex AI Pipelines orchestrates machine learning workflows (MLOps), not foundational SQL data transformations.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
4,"You need to orchestrate a pipeline composed of lightweight, serverless microservices (Cloud Functions and Cloud Run). A strict requirement is that the transition time between pipeline steps must be extremely low-latency (sub-second), and you do not want to provision or manage any underlying worker infrastructure. Which orchestration service is the best fit?",Cloud Composer,Cloud Workflows,Dataproc,Cloud Scheduler,B,"is incorrect because Cloud Composer is best for batch workloads that can handle a few seconds of latency between task executions, and it requires provisioning a managed environment with worker nodes.","is correct because Cloud Workflows is a fully serverless orchestration engine specifically designed to sequence HTTP-based microservices with extremely low latency between steps, requiring zero infrastructure management.","is incorrect because Dataproc is a managed Hadoop/Spark cluster service for heavy big data processing, not for orchestrating low-latency HTTP microservices.",is incorrect because Cloud Scheduler simply triggers a single endpoint on a schedule; it does not orchestrate multi-step transitions between services.,Data_pipeline_orchestration.docx,Data_pipeline_orchestration
5,"Your pipeline receives continuous real-time clickstream data. You need to ingest this data and stream it into BigQuery so that the metrics are visible on a dashboard within four seconds of the user clicking. Which combination of services provides this reliable, near-real-time event-driven pipeline?",Cloud Storage and BigQuery Data Transfer Service,Pub/Sub and Dataflow,Cloud Scheduler and Cloud SQL,Eventarc and Dataproc,B,is incorrect because BigQuery Data Transfer Service is a batch-scheduling tool (minimum frequency is typically 15 minutes to hours) and cannot provide 4-second real-time visibility.,"is correct because Pub/Sub serves as the scalable, real-time ingestion buffer, while Dataflow executes the streaming Apache Beam pipeline to transform and load the messages directly into BigQuery, achieving sub-second to low-second latency.","is incorrect because Cloud Scheduler is for time-based batch jobs, and Cloud SQL is a relational database, not a real-time data warehouse for analytical dashboarding.","is incorrect because Dataproc is primarily for batch Spark/Hadoop workloads, and Eventarc triggers discrete events rather than handling continuous streaming clickstream ingestion pipelines.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
6,"A daily batch pipeline orchestrates an Apache Spark job. The pipeline spins up a large compute cluster, runs the data transformation, and then leaves the cluster idle for the remaining 22 hours of the day, resulting in massive unnecessary costs. Which Google Cloud feature should you implement to automate the creation and immediate deletion of this cluster?",Dataproc Workflow Templates,BigQuery Scheduled Queries,Cloud Storage Object Lifecycle Management,Dataflow Autoscaling,A,"is correct because Dataproc Workflow Templates allow you to define an ephemeral cluster. When the template is triggered, it automatically provisions the cluster, executes the specified Spark/Hadoop jobs, and immediately deletes the cluster upon completion, optimizing costs.",is incorrect because BigQuery Scheduled Queries execute SQL within BigQuery; they cannot orchestrate external Apache Spark clusters.,"is incorrect because Object Lifecycle Management manages file retention and deletion in Cloud Storage, not cluster compute infrastructure.","is incorrect because Dataflow Autoscaling dynamically adjusts worker nodes for Apache Beam pipelines, not Apache Spark clusters on Dataproc.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
7,"A team member has configured a Cloud Composer Directed Acyclic Graph (DAG) with five sequential tasks. During the nightly run, Task 3 fails due to a temporary network timeout with an external API. How does Cloud Composer handle this failure to ensure the pipeline eventually succeeds without duplicating work?",It abandons the entire DAG and deletes the output of Task 1 and Task 2.,"It relies on task-level retries configured in Airflow; upon retry, it only reruns Task 3 and subsequent tasks, preserving the successful state of Tasks 1 and 2.",It triggers an Eventarc workflow to bypass Task 3.,It completely restarts the DAG from Task 1.,B,is incorrect because Airflow does not automatically delete data output from previous successful tasks when a downstream task fails.,"is correct because Cloud Composer is built on Apache Airflow, which inherently understands the state of each individual task in a DAG. You can configure retry logic so that if a task fails, Airflow only retries the failed task (and its downstream dependents) without needlessly re-executing successfully completed upstream tasks.",is incorrect because Eventarc is a separate routing service; it does not handle error recovery logic inside an Airflow DAG.,is incorrect because restarting from Task 1 is inefficient and violates the DAG's state management capabilities.,Data_pipeline_orchestration.docx,Data_pipeline_orchestration
8,"You have an operational Dataflow pipeline that processes thousands of messages per second. Users report that data is missing from the destination BigQuery table. You suspect the pipeline is encountering errors while transforming specific malformed messages. Which Google Cloud service should you use to view the specific, detailed error logs generated by the Dataflow worker nodes?",Dataplex,Cloud Logging,BigQuery INFORMATION_SCHEMA,IAM Audit Logs,B,"is incorrect because Dataplex is a data governance and discovery tool, not an infrastructure log viewer.","is correct because Cloud Logging automatically captures and centralizes all standard output, standard error, and application logs generated by the Compute Engine worker nodes executing your Dataflow pipeline, allowing you to inspect the exact errors caused by the malformed messages.","is incorrect because BigQuery's INFORMATION_SCHEMA contains metadata about queries and tables, not the application logs of upstream Dataflow workers.","is incorrect because IAM Audit Logs track administrative API calls (who created the pipeline), not the operational data-processing errors generated inside the code.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
9,"You are building a Dataform project to orchestrate SQL transformations in BigQuery. You have a complex formula for calculating ""customer churn risk"" that needs to be applied consistently across five different tables. To adhere to DRY (Don't Repeat Yourself) principles, how should you reuse this logic in Dataform?",Write a Cloud Function to perform the calculation.,Utilize JavaScript blocks inside Dataform to encapsulate and reuse the SQL logic.,Use Pub/Sub to broadcast the calculation to the tables.,Write a Python script in Cloud Composer.,B,is incorrect because Cloud Functions execute external code; they cannot be cleanly embedded into Dataform's SQL compilation process.,"is correct because Dataform (using Dataform Core / SQLX) natively supports embedding JavaScript. This allows you to write reusable JavaScript functions or constants that generate SQL snippets, which can then be invoked across multiple SQLX files to ensure consistency and eliminate code duplication.","is incorrect because Pub/Sub is a messaging queue, completely unrelated to SQL code reusability.",is incorrect because Dataform is designed to execute data transformations without requiring external Python orchestrators like Cloud Composer for code reuse.,Data_pipeline_orchestration.docx,Data_pipeline_orchestration
10,"You have a simple data requirement: every hour, you need to execute a standard SQL query in BigQuery that aggregates recent sales and appends the result to a reporting table. You want to automate this with the absolute minimum administrative overhead, avoiding the deployment of external orchestration infrastructure. What should you use?",BigQuery Scheduled Queries,Cloud Composer,Dataflow,Eventarc,A,"is correct because BigQuery Scheduled Queries are a native, fully managed feature that allows you to run SQL statements on a recurring time basis. This achieves the goal with zero external infrastructure or pipeline code to manage.",is incorrect because deploying a Cloud Composer environment (which provisions a GKE cluster and Airflow web server) just to run a single hourly SQL query is massive administrative and financial overkill.,"is incorrect because Dataflow is for complex programmatic data processing (ETL), not for orchestrating simple, native BigQuery SQL execution.","is incorrect because Eventarc triggers based on events, not a recurring hourly time schedule.",Data_pipeline_orchestration.docx,Data_pipeline_orchestration
